,scr_num,date_time,trd_stat,preclose_px,open_px,high_px,low_px,last_px,up_limit,down_limit,trd_count,totl_trd_vol,totl_trd_amt,withdraw_buy_count,withdraw_buy_px,withdraw_buy_amount,withdraw_sell_count,withdraw_sell_px,withdraw_sell_amount,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_size6,bid_size7,bid_size8,bid_size9,bid_size10,offer_price1,offer_price2,offer_price3,offer_price4,offer_price5,offer_price6,offer_price7,offer_price8,offer_price9,offer_price10,offer_size1,offer_size2,offer_size3,offer_size4,offer_size5,offer_size6,offer_size7,offer_size8,offer_size9,offer_size10,totl_buy_amount,totl_sell_amount,weighted_avg_sell_px,weighted_avg_buy_px
10,000001.XSHE,2023-11-22 09:30:30.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,636,1175600,12058955.09,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,800,102600,125300,256600,579600,455900,631900,153200,219500,110800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,228390,739700,405300,252400,139000,295500,725500,159900,333500,748200,6993100,13619475,10.62,10.0
11,000001.XSHE,2023-11-22 09:30:33.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,659,1213848,12451636.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,80352,104300,127300,256600,584700,455900,631900,153200,219500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,207390,739700,405300,253600,139000,295500,725500,159900,333500,748200,7078352,13600675,10.62,10.0
12,000001.XSHE,2023-11-22 09:30:36.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,790,1364948,14002166.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,16852,109600,133300,256100,584700,473100,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,179590,739200,405300,253600,139000,295500,725500,159900,336600,748200,7041852,13574475,10.62,10.0
13,000001.XSHE,2023-11-22 09:30:39.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,796,1372848,14083221.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,23152,110500,133300,256100,584700,473100,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,179490,739200,405300,253600,139000,295500,725500,162900,342400,748200,7048852,13587075,10.62,10.0
14,000001.XSHE,2023-11-22 09:30:42.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,818,1469148,15072208.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,27552,121500,133300,256100,584700,473500,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,99890,739200,405300,253700,139000,295500,725500,162900,342400,748200,7064552,13508475,10.62,10.0
15,000001.XSHE,2023-11-22 09:30:45.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,829,1486448,15249711.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,21852,130600,126400,257000,591700,473500,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,101490,740200,405300,254700,139000,295500,725500,162900,342400,748200,7070252,13518075,10.62,10.0
16,000001.XSHE,2023-11-22 09:30:48.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,842,1527748,15673720.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10852,133600,126400,258300,593000,473500,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,74390,740200,405300,254700,139000,295500,725500,162900,342400,748200,7071452,13501875,10.63,10.0
17,000001.XSHE,2023-11-22 09:30:51.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,877,1569948,16107081.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,59252,132100,176700,258300,594700,472500,631900,153200,217500,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,32790,740200,405300,254700,139000,295500,725500,162900,344400,748200,7170352,13464675,10.63,10.01
18,000001.XSHE,2023-11-22 09:30:54.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,921,1631148,16735553.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,90552,131200,180900,251400,594700,472500,631900,153200,218900,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,41890,740200,406200,242200,139000,295500,725500,162900,345400,748200,7200452,13463775,10.63,10.01
19,000001.XSHE,2023-11-22 09:30:57.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,928,1633648,16761214.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,94852,125000,184200,261500,594700,473700,631900,153200,218900,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,40000,740200,406800,242200,139000,295500,725500,162900,346900,748200,7214652,13467885,10.63,10.01
20,000001.XSHE,2023-11-22 09:31:00.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,935,1645648,16884429.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,93952,161900,184200,258500,594700,473700,636900,153200,218900,107800,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,40900,740200,406800,242200,137000,295500,725500,162900,346900,748200,7252852,13472785,10.63,10.01
21,000001.XSHE,2023-11-22 09:31:03.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,940,1670148,17136008.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,91952,206000,191300,255600,594900,475000,636900,153200,218900,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,25300,737900,406800,243200,137000,295500,730500,162900,347700,748200,7296352,13465785,10.63,10.01
22,000001.XSHE,2023-11-22 09:31:06.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,964,1694248,17383289.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,73952,207000,191300,282000,594900,473800,638400,153200,219900,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,28000,739400,406800,237400,137000,295500,730900,162900,347700,748200,7312052,13464585,10.63,10.01
23,000001.XSHE,2023-11-22 09:31:09.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,981,1706348,17507525.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,68052,209000,192300,282500,594900,474800,640300,153200,219900,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,62200,739400,406800,228400,137000,295500,730900,162900,347700,748200,7311552,13492485,10.63,10.01
24,000001.XSHE,2023-11-22 09:31:12.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,983,1707348,17517795.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,45152,210900,192300,288300,594900,474800,639800,154200,219900,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,90500,739400,406800,233400,137000,295500,730900,162900,348700,748200,7298852,13500185,10.63,10.01
25,000001.XSHE,2023-11-22 09:31:15.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,1021,1750048,17955897.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10452,202200,193500,305300,595900,474300,639800,154200,270100,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,92300,739400,406800,234500,137000,295900,730900,202900,348700,748200,7326252,13564685,10.62,10.01
26,000001.XSHE,2023-11-22 09:31:18.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,1043,1770248,18163333.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,9152,209700,194500,305300,595400,458100,639900,154200,270100,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,91900,739300,383400,234500,137000,295900,730900,202900,348700,748200,7318152,13543285,10.62,10.01
27,000001.XSHE,2023-11-22 09:31:21.000,T,10.28,10.26,10.27,10.24,10.27,11.31,9.25,1043,1770248,18163333.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,14452,211200,192200,306400,596200,458100,639900,156200,270100,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,102200,754100,383400,234500,137100,295900,731900,202900,348700,748200,7330652,13576285,10.62,10.01
28,000001.XSHE,2023-11-22 09:31:24.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,1045,1772448,18185905.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,13052,207000,192200,306400,600200,458100,639900,204300,270100,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,101000,772600,383400,244100,137100,315900,716900,202900,348900,748200,7382752,13619185,10.62,10.01
29,000001.XSHE,2023-11-22 09:31:27.000,T,10.28,10.26,10.27,10.24,10.26,11.31,9.25,1064,1784348,18307999.57,0,0.0,0.0,0,0.0,0.0,10.26,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,1552,209300,192200,306400,600200,454100,642400,204300,272100,113300,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,10.36,117600,772600,383400,244100,137100,315900,716900,202900,348900,748200,7375052,13655685,10.62,10.01
