,scr_num,date_time,trd_stat,preclose_px,open_px,high_px,low_px,last_px,up_limit,down_limit,trd_count,totl_trd_vol,totl_trd_amt,withdraw_buy_count,withdraw_buy_px,withdraw_buy_amount,withdraw_sell_count,withdraw_sell_px,withdraw_sell_amount,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_size6,bid_size7,bid_size8,bid_size9,bid_size10,offer_price1,offer_price2,offer_price3,offer_price4,offer_price5,offer_price6,offer_price7,offer_price8,offer_price9,offer_price10,offer_size1,offer_size2,offer_size3,offer_size4,offer_size5,offer_size6,offer_size7,offer_size8,offer_size9,offer_size10,totl_buy_amount,totl_sell_amount,weighted_avg_sell_px,weighted_avg_buy_px
0,000001.XSHE,2023-11-22 09:25:00.000,B,10.28,10.26,10.26,10.26,10.26,11.31,9.25,226,352800,3619728.0,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,90000,166600,72500,430400,220600,378700,88100,97500,60700,241700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,77491,195699,698788,258500,72400,139500,179700,691600,125700,317700,5144800,10946643,10.65,9.98
1,000001.XSHE,2023-11-22 09:26:42.000,B,10.28,10.26,10.26,10.26,10.26,11.31,9.25,226,352800,3619728.0,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,90000,166600,72500,430400,220600,378700,88100,97500,60700,241700,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,77491,195699,698788,258500,72400,139500,179700,691600,125700,317700,5144800,10946643,10.65,9.98
